,abstenciones,acta_id,ausentes,base_mayoria,fecha,hora,nroperiodo,numero,persona_id,presidente_id,presidente_nombre,resultado,reunion,sesion,sesion_id,tipo_mayoria,tipo_periodo,tipo_sesion,titulo,votos_afirmativos,votos_negativos
22,0,3783,39,Legisladores Presentes,2018-04-25,14:56,136,15,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 350-D-2018. Votación.,115,102
23,1,3784,41,Legisladores Presentes,2018-04-25,14:59,136,16,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 256-D-2018. Votación.,113,101
24,0,3769,18,Legisladores Presentes,2018-04-25,13:03,136,1,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 2133-D-2018. Votación.,132,106
25,1,3785,33,Legisladores Presentes,2018-04-25,15:07,136,17,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 1605-D-2018. Votación.,121,101
26,0,3770,16,Legisladores Presentes,2018-04-25,13:14,136,2,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 2142-D-2018. Votación.,139,101
27,0,3786,20,Legisladores Presentes,2018-04-25,15:15,136,18,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 0310-D-2018. Votación.,133,103
28,0,3771,22,Legisladores Presentes,2018-04-25,13:20,136,3,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 1818-D-2018. Votación.,134,100
29,2,3787,28,Legisladores Presentes,2018-04-25,15:24,136,19,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 0505-D-2018. Votación.,126,100
30,0,3772,16,Legisladores Presentes,2018-04-25,13:28,136,4,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 1831-D-2018. Votación.,139,101
31,0,3788,33,Legisladores Presentes,2018-04-25,15:33,136,20,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 1388-D-2018. Votación.,125,98
32,1,3773,24,Legisladores Presentes,2018-04-25,13:36,136,5,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 1761-D-2018. Votación.,129,102
33,0,3789,45,Legisladores Presentes,2018-04-25,15:41,136,21,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 4881-D-2017. Votación.,110,101
34,0,3774,24,Legisladores Presentes,2018-04-25,13:46,136,6,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 1714-D-2018. Votación.,129,103
35,0,3790,56,Legisladores Presentes,2018-04-25,15:50,136,22,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 2167-D-2017. Votación.,102,98
36,0,3775,34,Legisladores Presentes,2018-04-25,13:54,136,7,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 1623-D-2018. Votación.,120,102
37,0,3791,50,Legisladores Presentes,2018-04-25,15:58,136,23,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 2168-D-2017. Votación.,108,98
38,0,3776,24,Legisladores Presentes,2018-04-25,14:04,136,8,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 6298-D-2017. Votación.,131,101
39,0,3792,56,Legisladores Presentes,2018-04-25,16:03,136,24,,,MONZÓ Emilio,NEGATIVO,4,3,HCDN136R04,Dos tercios,Ordinario,Especial,Habilitar el Tratamiento del Expediente 5643-D-2017. Votación.,100,100
40,44,3799,32,Votos Emitidos,2018-05-09,11:21,136,1,,,MONZÓ Emilio,NEGATIVO,5,4,HCDN136R05,Tres cuartos,Ordinario,Especial,"Apartamiento del Reglamento solicitado por el Diputado DEL CAÑO, Nicolás",66,114
41,3,3800,24,Votos Emitidos,2018-05-09,11:59,136,2,,,MONZÓ Emilio,AFIRMATIVO,5,4,HCDN136R05,Más de la mitad,Ordinario,Especial,Expediente 19-PE-2017 - Orden del Día 37. Votación.-,158,71
42,1,3801,25,Votos Emitidos,2018-05-09,12:09,136,3,,,MONZÓ Emilio,AFIRMATIVO,5,4,HCDN136R05,Más de la mitad,Ordinario,Especial,Expediente 16-S-2018 - Orden del Día 48 - Votación en General y Particular,222,8
43,1,3802,18,Votos Emitidos,2018-05-09,12:30,136,4,,,MONZÓ Emilio,AFIRMATIVO,5,4,HCDN136R05,Más de la mitad,Ordinario,Especial,Expediente 2479-D-2016. Votación.-,163,74
44,3,3803,26,Votos Emitidos,2018-05-09,23:34,136,1,,,MONZÓ Emilio,AFIRMATIVO,6,5,HCDN136R06,Más de la mitad,Ordinario,Especial,Expediente 1302-D-2017 y otros - Orden del Día 89. Votación en General.,133,94
45,3,3804,29,Votos Emitidos,2018-05-09,23:54,136,2,,,MONZÓ Emilio,AFIRMATIVO,6,5,HCDN136R06,Más de la mitad,Ordinario,Especial,Expediente 1302-D-2017 y otros - Orden del Día 89 - Votación en Particular,133,91
46,1,3805,1,Votos Emitidos,2018-06-14,09:51,136,1,,,MONZÓ Emilio,AFIRMATIVO,8,7,HCDN136R08,Más de la mitad,Ordinario,Tablas,Expediente 230-D-2018 y otros - Orden del Día 155 - Votación en general.,129,125
47,11,3809,45,Votos Emitidos,2018-07-04,15:26,136,4,,,MONZÓ Emilio,NEGATIVO,10,8,HCDN136R10,Tres cuartos,Ordinario,Especial,"Apartamiento del reglamento propuesto por el diputado DEL CAÑO, Nicolás para tratar el Expediente 3687-D-2018",84,116
48,3,3825,71,Votos Emitidos,2018-07-04,19:38,136,20,,,MONZÓ Emilio,AFIRMATIVO,10,8,HCDN136R10,Más de la mitad,Ordinario,Especial,Expediente 5327-D-17 y otro - Orden del Día 134. Votación en General y Particular.,182,0
49,11,3810,48,Votos Emitidos,2018-07-04,15:33,136,5,,,MONZÓ Emilio,NEGATIVO,10,8,HCDN136R10,Tres cuartos,Ordinario,Especial,"Apartamiento del reglamento propuesto por la diputada TUNDIS, Mirta para tratar el Expediente 3079-D-2017.",30,167
50,0,3826,70,Votos Emitidos,2018-07-04,19:52,136,21,,,MONZÓ Emilio,AFIRMATIVO,10,8,HCDN136R10,Más de la mitad,Ordinario,Especial,Expediente 2919-D-2018. Votación en General y Particular.,186,0
51,0,3811,50,Votos Emitidos,2018-07-04,16:08,136,6,,,MONZÓ Emilio,NEGATIVO,10,8,HCDN136R10,Tres cuartos,Ordinario,Especial,"Apartamiento del reglamento propuesto por el diputado CARMONA, Guillermo Ramón para tratar el Expediente 605-D-2018.",107,99
52,0,3827,53,Votos Emitidos,2018-07-04,20:57,136,22,,,MONZÓ Emilio,AFIRMATIVO,10,8,HCDN136R10,Más de la mitad,Ordinario,Especial,Expediente 27-S-2017. Votación en General y Particular.,203,0
53,2,3812,48,Votos Emitidos,2018-07-04,16:12,136,7,,,MONZÓ Emilio,NEGATIVO,10,8,HCDN136R10,Tres cuartos,Ordinario,Especial,"Apartamiento del reglamento propuesto por el diputado SALVAREZZA, Roberto para tratar el Expediente 652-D-2018.",106,100
54,2,3828,60,Votos Emitidos,2018-07-04,21:54,136,23,,,MONZÓ Emilio,AFIRMATIVO,10,8,HCDN136R10,Más de la mitad,Ordinario,Especial,Expedientes 148-S-2017 y 5523-D-2017 - Orden del Día 85. Votación en General.,145,49
55,2,3813,62,Votos Emitidos,2018-07-04,16:20,136,8,,,MONZÓ Emilio,NEGATIVO,10,8,HCDN136R10,Tres cuartos,Ordinario,Especial,"Apartamiento del reglamento propuesto por el diputado MOREAU, Leopoldo para tratar el Expediente 3984-D-2018.",101,91
56,0,3829,62,Votos Emitidos,2018-07-05,02:25,136,24,,,MONZÓ Emilio,AFIRMATIVO,10,8,HCDN136R10,Más de la mitad,Ordinario,Especial,Expedientes 1919-D-2018 y 3240-D-2018 - Orden del Día 215. Votación en General.,194,0
57,3,3814,54,Votos Emitidos,2018-07-04,16:30,136,9,,,MONZÓ Emilio,NEGATIVO,10,8,HCDN136R10,Tres cuartos,Ordinario,Especial,"Apartamiento del reglamento propuesto por el diputado FILMUS, Daniel para tratar el Expediente 3967-D-2018.",100,99
58,1,3830,78,Votos Emitidos,2018-07-05,02:34,136,25,,,MONZÓ Emilio,AFIRMATIVO,10,8,HCDN136R10,Más de la mitad,Ordinario,Especial,Expedientes 1919-D-2018 y 3240-D-2018 - Orden del Día 215 - Art. 7.,121,56
59,0,3815,56,Votos Emitidos,2018-07-04,16:39,136,10,,,MONZÓ Emilio,NEGATIVO,10,8,HCDN136R10,Tres cuartos,Ordinario,Especial,"Apartamiento del reglamento propuesto por la diputada VOLNOVICH, Laura para tratar el Expediente 3996-D-2018.",102,98
60,1,3831,80,Votos Emitidos,2018-07-05,02:47,136,26,,,MONZÓ Emilio,AFIRMATIVO,10,8,HCDN136R10,Más de la mitad,Ordinario,Especial,Expediente 007-PE-2017 - Orden del Día 47. Votación en General y Particular.,114,61
61,0,3816,61,Votos Emitidos,2018-07-04,16:47,136,11,,,MONZÓ Emilio,NEGATIVO,10,8,HCDN136R10,Tres cuartos,Ordinario,Especial,"Apartamiento del reglamento propuesto por la diputada SILEY, Vanesa para tratar el Expediente 3996-D-2018.",102,93
62,0,3817,54,Votos Emitidos,2018-07-04,18:42,136,12,,,MONZÓ Emilio,AFIRMATIVO,10,8,HCDN136R10,Más de la mitad,Ordinario,Especial,Expediente 039-S-2018 - Votación en General y Particular.,202,0
63,5,3818,49,Votos Emitidos,2018-07-04,19:00,136,13,,,MONZÓ Emilio,AFIRMATIVO,10,8,HCDN136R10,Más de la mitad,Ordinario,Especial,Expediente 588-D-18 - Orden del Día 21. Votación en General y Particular.,185,17
64,5,3819,44,Votos Emitidos,2018-07-04,19:03,136,14,,,MONZÓ Emilio,AFIRMATIVO,10,8,HCDN136R10,Más de la mitad,Ordinario,Especial,Expediente 71-S-17 - Orden del Día 38. Votación en General y Particular.,207,0
65,71,3820,44,Votos Emitidos,2018-07-04,19:05,136,15,,,MONZÓ Emilio,AFIRMATIVO,10,8,HCDN136R10,Más de la mitad,Ordinario,Especial,Expediente 93-S-17 - Orden del Día 77. Votación en General y Particular,141,0
66,1,3821,47,Votos Emitidos,2018-07-04,19:07,136,16,,,MONZÓ Emilio,AFIRMATIVO,10,8,HCDN136R10,Más de la mitad,Ordinario,Especial,Expediente 101-S-16 - Orden del Día 104. Votación en General y Particular,205,3
67,0,3806,47,Votos Emitidos,2018-07-04,15:14,136,1,,,MONZÓ Emilio,NEGATIVO,10,8,HCDN136R10,Tres cuartos,Ordinario,Especial,"Apartamiento del reglamento propuesto por la diputada Del PLÁ, Romina para tratar el Expediente 3963-D-2018",112,97
68,0,3822,46,Votos Emitidos,2018-07-04,19:09,136,17,,,MONZÓ Emilio,AFIRMATIVO,10,8,HCDN136R10,Más de la mitad,Ordinario,Especial,Expediente 2838-D-17 - Orden del Día 135. Votación en General y Particular,210,0
69,19,3807,46,Votos Emitidos,2018-07-04,15:15,136,2,,,MONZÓ Emilio,NEGATIVO,10,8,HCDN136R10,Tres cuartos,Ordinario,Especial,"Apartamiento del reglamento propuesto por la diputada Del PLÁ, Romina para tratar el Expediente 6730-D-2017.",82,109
70,0,3823,51,Votos Emitidos,2018-07-04,19:25,136,18,,,MONZÓ Emilio,AFIRMATIVO,10,8,HCDN136R10,Más de la mitad,Ordinario,Especial,Expediente 3525-D-17 - Orden del Día 115. Votación en General y Particular.,205,0
71,2,3808,46,Votos Emitidos,2018-07-04,15:19,136,3,,,MONZÓ Emilio,NEGATIVO,10,8,HCDN136R10,Tres cuartos,Ordinario,Especial,"Apartamiento del reglamento propuesto por la diputada GONZÁLEZ SELIGRA, Nathalia para tratar el Expediente 4043-D-18",94,114
72,1,3824,57,Votos Emitidos,2018-07-04,19:31,136,19,,,MONZÓ Emilio,AFIRMATIVO,10,8,HCDN136R10,Más de la mitad,Ordinario,Especial,Expediente 2648-D-18 - Orden del Día 124. Votación en General y Particular.,198,0
73,8,3832,7,Votos Emitidos,2018-10-25,05:44,136,1,,,MONZÓ Emilio,AFIRMATIVO,15,11,HCDN136R15,Más de la mitad,Ordinario,Especial,Expediente 16-JGM-2018 - O.D. 537 - Votación en General,138,103
74,21,3833,69,Votos Emitidos,2018-10-25,05:50,136,2,,,MONZÓ Emilio,AFIRMATIVO,15,11,HCDN136R15,Más de la mitad,Ordinario,Especial,Expediente 06-PE-2018 - O.D. 531. Votación en General y Particular.,142,24
75,1,3834,71,Votos Emitidos,2018-10-25,05:56,136,3,,,MONZÓ Emilio,AFIRMATIVO,15,11,HCDN136R15,Más de la mitad,Ordinario,Especial,Expediente 111-S-2017 (y otro) - O.D. 532 - Votación en General y Particular.,184,0
76,8,3835,73,Votos Emitidos,2018-10-25,06:06,136,4,,,MONZÓ Emilio,AFIRMATIVO,15,11,HCDN136R15,Más de la mitad,Ordinario,Especial,Expediente 4784-D-2018 - O.D. 533 - Votación en General y Particular.,139,36
77,8,3836,80,Votos Emitidos,2018-10-25,06:21,136,5,,,MONZÓ Emilio,AFIRMATIVO,15,11,HCDN136R15,Más de la mitad,Ordinario,Especial,Expediente 6443-D-2018 - O.D. 534 - Votación en General y Particular,130,38
78,0,3841,66,Votos Emitidos,2018-12-05,17:11,136,5,,,MONZÓ Emilio,AFIRMATIVO,17,1,HCDN136R17,Más de la mitad,Extraordinario,Especial,Expediente 5550-D-2018 - O.D. 486. Votación en General.,189,1
79,0,3842,82,Votos Emitidos,2018-12-05,17:35,136,6,,,MONZÓ Emilio,AFIRMATIVO,17,1,HCDN136R17,Más de la mitad,Extraordinario,Especial,Expediente 70-D-2018 - O.D. 434. Votación en General y Particular,172,2
80,0,3843,61,Votos Emitidos,2018-12-05,18:34,136,7,,,MONZÓ Emilio,AFIRMATIVO,17,1,HCDN136R17,Más de la mitad,Extraordinario,Especial,Expediente 972-D-2018 - O.D. 810. Votación en General y Particular,195,0
81,0,3844,64,Votos Emitidos,2018-12-05,18:58,136,8,,,MONZÓ Emilio,AFIRMATIVO,17,1,HCDN136R17,Más de la mitad,Extraordinario,Especial,Expediente 2437-D-2017 y 302-D-2018 - O.D. 816. Votación en General y Particular,192,0
82,0,3845,60,Votos Emitidos,2018-12-05,19:43,136,9,,,MONZÓ Emilio,AFIRMATIVO,17,1,HCDN136R17,Más de la mitad,Extraordinario,Especial,Expediente 21-PE-2017 - Votación en General y Particular,196,0
83,4,3837,62,Votos Emitidos,2018-12-05,15:01,136,1,,,MONZÓ Emilio,AFIRMATIVO,17,1,HCDN136R17,Más de la mitad,Extraordinario,Especial,Expediente 108-S-2018. Votación en General y Particular.,189,1
84,2,3838,54,Votos Emitidos,2018-12-05,15:05,136,2,,,MONZÓ Emilio,AFIRMATIVO,17,1,HCDN136R17,Más de la mitad,Extraordinario,Especial,Proyectos de Ley sin Disidencias ni Observaciones. Votación en General y Particular.,200,0
85,27,3839,39,Votos Emitidos,2018-12-05,16:11,136,3,,,MONZÓ Emilio,AFIRMATIVO,17,1,HCDN136R17,Más de la mitad,Extraordinario,Especial,Expediente 6443-D-2018 - O.D. 809.,125,65
86,2,3840,49,Votos Emitidos,2018-12-05,16:39,136,4,,,MONZÓ Emilio,AFIRMATIVO,17,1,HCDN136R17,Más de la mitad,Extraordinario,Especial,Expediente 26-S-2018 - O.D. 399 - Votación en General y Particular,200,5
87,0,3846,83,Votos Emitidos,2018-12-06,12:52,136,1,,,MONZÓ Emilio,AFIRMATIVO,18,2,HCDN136R18,Más de la mitad,Extraordinario,Especial,Expediente 7157-D-2018 - O.D. 982.Votación en General y Particular,170,3
88,4,3847,63,Votos Emitidos,2018-12-06,14:05,136,2,,,MONZÓ Emilio,AFIRMATIVO,18,2,HCDN136R18,Más de la mitad,Extraordinario,Especial,Expediente 36-S-2018 y 38-S-2018 - O.D. 235. Votación en General,134,55
89,3,3848,68,Votos Emitidos,2018-12-06,14:34,136,3,,,MONZÓ Emilio,AFIRMATIVO,18,2,HCDN136R18,Más de la mitad,Extraordinario,Especial,Expediente 2786-D-2018 - O.D. 440 - Votación en General y Particular,132,53
90,0,3849,50,Votos Emitidos,2018-12-06,15:28,136,4,,,MONZÓ Emilio,AFIRMATIVO,18,2,HCDN136R18,Más de la mitad,Extraordinario,Especial,"Moción de Orden solicitada por el diputado CARMONA, Guillermo",112,94
91,47,3850,71,Votos Emitidos,2018-12-06,15:45,136,5,,,MONZÓ Emilio,AFIRMATIVO,18,2,HCDN136R18,Más de la mitad,Extraordinario,Especial,Expediente 42-S-2018 - O.D. 550. Votación en General y Particular,135,3
92,7,3851,95,Votos Emitidos,2018-12-06,16:15,136,6,,,MONZÓ Emilio,AFIRMATIVO,18,2,HCDN136R18,Más de la mitad,Extraordinario,Especial,Expediente 2216-D-2017 y 2498-D-2018 - O.D. 567 - Votación en General,118,36
93,0,3852,82,Votos Emitidos,2018-12-06,16:47,136,7,,,MONZÓ Emilio,AFIRMATIVO,18,2,HCDN136R18,Más de la mitad,Extraordinario,Especial,Expediente 65-S-2018 - O.D. 565 - Votación en General y Particular,130,44
94,36,3853,76,Votos Emitidos,2018-12-06,17:08,136,8,,,MONZÓ Emilio,AFIRMATIVO,18,2,HCDN136R18,Más de la mitad,Extraordinario,Especial,Expediente 150-S-2017 - O.D. 41 - Votación en General y Particular,96,48
95,1,3854,58,Votos Emitidos,2018-12-06,18:09,136,9,,,MONZÓ Emilio,AFIRMATIVO,18,2,HCDN136R18,Más de la mitad,Extraordinario,Especial,Expediente 108-S-2016 - O.D. 28 - Votación en General,195,2
96,3,3855,60,Votos Emitidos,2018-12-06,20:27,136,10,,,MONZÓ Emilio,AFIRMATIVO,18,2,HCDN136R18,Más de la mitad,Extraordinario,Especial,Expediente 7073-D-2018  - O.D. 762. Votación en General,127,66
97,2,3856,80,Votos Emitidos,2018-12-06,21:38,136,11,,,MONZÓ Emilio,AFIRMATIVO,18,2,HCDN136R18,Más de la mitad,Extraordinario,Especial,Expediente 7435-D-2018 - O.D. 983 - Votación en General y Particular,174,0
98,3,3857,52,Votos Emitidos,2018-12-18,20:28,136,1,,,MONZÓ Emilio,AFIRMATIVO,19,3,HCDN136R19,Más de la mitad,Extraordinario,Especial,Expediente 7-PE-2018 - O.D. 984. Votación en General.,201,0
99,6,3858,60,Votos Emitidos,2018-12-18,20:51,136,2,,,MONZÓ Emilio,AFIRMATIVO,19,3,HCDN136R19,Más de la mitad,Extraordinario,Especial,Expediente 7-PE-2018 - O.D. 984. Artículo 5.,141,49
100,11,3859,59,Votos Emitidos,2018-12-18,20:53,136,3,,,MONZÓ Emilio,AFIRMATIVO,19,3,HCDN136R19,Más de la mitad,Extraordinario,Especial,Expediente 7-PE-2018 - O.D. 984. Artículo 6.,129,57
101,2,3860,55,Votos Emitidos,2018-12-18,21:49,136,4,,,MONZÓ Emilio,AFIRMATIVO,19,3,HCDN136R19,Más de la mitad,Extraordinario,Especial,"Moción propuesta por el diputado LOUSTEAU, Martín",115,84
102,0,3861,65,Votos Emitidos,2018-12-18,21:56,136,5,,,MONZÓ Emilio,NEGATIVO,19,3,HCDN136R19,Tres cuartos,Extraordinario,Especial,"Apartamiento de reglamento propuesto por la diputada TUNDIS, Mirta",119,72
103,0,3862,84,Votos Emitidos,2018-12-19,00:29,136,6,,,MONZÓ Emilio,AFIRMATIVO,19,3,HCDN136R19,Más de la mitad,Extraordinario,Especial,"Ley ""Micaela"", de capacitación obligatoria en género para todas las personas que integran los tres poderes del Estado. Establecimiento.",171,1
104,4,3863,94,Votos Emitidos,2018-12-19,01:26,136,7,,,MONZÓ Emilio,AFIRMATIVO,19,3,HCDN136R19,Más de la mitad,Extraordinario,Especial,Expediente 93-S-2018 Votacion General y Particular,112,46
105,0,3307,45,Votos Emitidos,2017-04-19,16:12,135,1,,,MONZÓ Emilio,AFIRMATIVO,4,2,HCDN135R04,Más de la mitad,Ordinario,Especial,Expediente 4294-D-2016 - Orden del Día 1287 - Votación en General y Particular.,211,0
106,1,3308,51,Votos Emitidos,2017-04-26,15:52,135,1,,,MONZÓ Emilio,AFIRMATIVO,5,3,HCDN135R05,Más de la mitad,Ordinario,Especial,Expediente 0149-S-2015 - Orden del Día 912. Votación en General.,204,0
107,0,3309,62,Votos Emitidos,2017-04-26,17:12,135,2,,,MONZÓ Emilio,AFIRMATIVO,5,3,HCDN135R05,Más de la mitad,Ordinario,Especial,Expediente 1295-D-2017 - Orden del Día 1288 - Votación en General.,194,0
108,4,3310,71,Votos Emitidos,2017-04-26,18:17,135,3,,,GIMÉNEZ Patricia Viviana,AFIRMATIVO,5,3,HCDN135R05,Más de la mitad,Ordinario,Especial,Expediente 0017-S-2017. Votación en General y Particular.,181,0
109,1,3311,88,Votos Emitidos,2017-04-26,19:52,135,4,,,GIMÉNEZ Patricia Viviana,AFIRMATIVO,5,3,HCDN135R05,Más de la mitad,Ordinario,Especial,Expediente 0016-S-2017 - Votación en General y Particular,167,0
110,4,3312,97,Votos Emitidos,2017-04-26,20:04,135,5,,,GIMÉNEZ Patricia Viviana,AFIRMATIVO,5,3,HCDN135R05,Más de la mitad,Ordinario,Especial,Expediente 0125-S-2016 Orden del Dia 1289 - Votación en General y Particular,155,0
